FAA Site     Short Name  Airport Name                               City                               ST  Latitude        Longitude        Tower
========     ==========  ============                               ====                               ==  ========        =========        =====
03010.1*A    63FD        LINK FIELD                                 ALACHUA                            FL  29-41-53.0000N  082-29-29.0000W  N
03010.*A     FA62        SANTA FE RIVER RANCH                       ALACHUA                            FL  29-55-00.8650N  082-28-59.4150W  N
03010.01*A   63FA        SULLIVAN FIELD                             ALACHUA                            FL  29-44-03.0000N  082-33-55.0000W  N
03014.5*H    0FL4        JACKSON                                    ALFORD                             FL  30-42-18.0000N  085-22-42.0000W  N
03015.1*H    01FD        FLORIDA HOSPITAL-ALTAMONTE                 ALTAMONTE SPRINGS                  FL  28-39-58.9910N  081-22-14.2470W  N
03015.02*C   0FA9        PARADISE LANDING                           ALTAMONTE SPRINGS                  FL  28-39-27.0000N  081-22-57.0000W  N
03015.*C     3FD9        PRAIRIE LAKE PVT RES SP MOORING FACILITY   ALTAMONTE SPRINGS                  FL  28-39-23.9920N  081-21-12.2460W  N
03016.04*H   FD60        CALHOUN SHERIFF'S                          ALTHA                              FL  30-35-12.6900N  085-06-13.7100W  N
03016.03*A   50FD        CATTLE CREEK RANCH                         ALTHA                              FL  30-31-05.6980N  085-11-55.7190W  N
03017.*A     87FL        ALMA                                       ALVA                               FL  26-43-58.7500N  081-34-15.7500W  N
03025.*A     AAF         APALACHICOLA RGNL-CLEVE RANDOLPH FIELD     APALACHICOLA                       FL  29-43-39.1762N  085-01-38.5585W  N
03025.1*A    F47         ST GEORGE ISLAND                           APALACHICOLA                       FL  29-38-40.5025N  084-54-56.1562W  N
03027.11*A   FL57        CARTER                                     APOPKA                             FL  28-37-07.9980N  081-30-31.2600W  N
03027.13*H   1FA2        FLORIDA HOSPITAL APOPKA                    APOPKA                             FL  28-40-53.0000N  081-30-27.0000W  N
03027.12*A   X04         ORLANDO APOPKA                             APOPKA                             FL  28-42-26.9079N  081-34-55.0722W  N
03030.*A     X06         ARCADIA MUNI                               ARCADIA                            FL  27-11-44.1910N  081-50-14.0219W  N
03030.01*H   FD85        DE SOTO MEMORIAL HOSPITAL                  ARCADIA                            FL  27-13-40.7600N  081-51-03.5600W  N
03030.13*A   0FA1        FRIERSON GROVE                             ARCADIA                            FL  27-18-14.1650N  081-52-49.3000W  N
03030.11*A   26FD        HENNESSY                                   ARCADIA                            FL  27-03-04.2000N  081-50-53.3000W  N
03030.08*A   FL40        HUMMINGBIRDS LANDING                       ARCADIA                            FL  27-07-15.5000N  081-48-09.6900W  N
03030.15*A   8FL1        MC DONALD'S FIELD                          ARCADIA                            FL  27-11-49.1800N  081-54-56.3030W  N
03030.14*A   FA64        MONTGOMERY RANCH                           ARCADIA                            FL  27-04-28.1940N  081-35-11.2800W  N
03030.02*A   09FL        SUNNYBREEZE                                ARCADIA                            FL  27-03-20.0000N  081-58-14.0000W  N
03033.23*H   FA57        ARCHER EMERGENCY                           ARCHER                             FL  29-32-03.0000N  082-31-28.0000W  N
03033.2*A    0J8         FLYING TEN                                 ARCHER                             FL  29-37-08.1000N  082-30-31.6000W  N
03033.21*A   FL66        PEACH ORCHARD                              ARCHER                             FL  29-33-25.7500N  082-29-48.3000W  N
03038.*H     FA66        TRAVEL LODGE                               ATLANTIC BEACH                     FL  30-19-26.8670N  081-24-42.3060W  N
03039.*H     1FD3        JFK MEDICAL CENTER                         ATLANTIS                           FL  26-35-59.0000N  080-05-28.0000W  N
03040.02*H   FA53        EAGLES NEST                                AUBURNDALE                         FL  28-02-38.0000N  081-50-55.0000W  N
03040.01*C   1FL0        GARNER LANDING                             AUBURNDALE                         FL  28-06-13.0600N  081-48-21.2800W  N
03040.*A     FL16        MARKET WORLD                               AUBURNDALE                         FL  28-03-31.0710N  081-48-59.2870W  N
03041.05*H   1FD5        AVENTURA HOSPITAL & MEDICAL CENTER         AVENTURA                           FL  25-58-13.7500N  080-08-42.0000W  N
03042.*A     AVO         AVON PARK EXECUTIVE                        AVON PARK                          FL  27-35-28.6796N  081-31-44.2806W  N
03042.1*A    FL01        CREWS HOMESTEAD RANCH                      AVON PARK                          FL  27-37-16.1200N  081-36-38.2800W  N
03043.*A     AGR         MACDILL AFB AUX FLD                        AVON PARK                          FL  27-38-52.2600N  081-20-29.6300W  N
03050.11*A   55FD        DOTSON                                     BAKER                              FL  30-49-06.6720N  086-41-16.8390W  N
03050.1*A    18FD        SKYPARK ESTATES OWNERS ASSOC               BAKER                              FL  30-51-14.6670N  086-40-01.8370W  N
03052.03*H   1FL7        BARTON HMA LLC                             BARTOW                             FL  27-55-08.0900N  081-50-42.2900W  N
03052.01*H   FD65        BARTOW HIGH SCHOOL                         BARTOW                             FL  27-52-48.0940N  081-50-28.2950W  N
03052.*A     BOW         BARTOW MUNI                                BARTOW                             FL  27-56-36.1000N  081-47-00.3000W  Y
03052.04*H   8FL5        DANCING OAKS                               BARTOW                             FL  27-56-54.3700N  081-51-48.5900W  N
03052.02*H   17FD        SHERIFFS HELISTOP                          BARTOW                             FL  27-54-00.0920N  081-50-42.2940W  N
03053.64*A   86FD        COUNTRY LANDINGS                           BELL                               FL  29-45-53.0000N  082-53-47.0000W  N
03053.63*A   37FL        FLYING HARNESS FARMS                       BELL                               FL  29-43-06.8490N  082-50-40.4410W  N
03053.61*A   6FL9        SAW WHET FARMS                             BELL                               FL  29-41-23.8480N  082-52-16.4430W  N
03053.6*A    9FL5        SHADY BEND                                 BELL                               FL  29-48-50.8350N  082-55-32.4550W  N
03054.*A     X10         BELLE GLADE STATE MUNI                     BELLE GLADE                        FL  26-41-53.9000N  080-39-38.9000W  N
03055.11*A   FA69        DUDA AIRSTRIP                              BELLE GLADE                        FL  26-35-16.2510N  080-38-14.2050W  N
03055.14*H   9FA2        LAKESIDE MEDICAL CENTER                    BELLE GLADE                        FL  26-43-25.4100N  080-40-19.0900W  N
03055.3*C    0FL5        LAKE CONWAY SOUTH                          BELLE ISLE                         FL  28-27-31.0000N  081-20-59.0000W  N
03055.61*A   8FL3        BACK ACHERS                                BELLEVIEW                          FL  29-04-22.9280N  081-59-58.3100W  N
03055.63*A   FL58        JOHARY                                     BELLEVIEW                          FL  29-01-34.9320N  081-59-16.3080W  N
03055.71*H   7FL0        JORDAN                                     BELLEVIEW                          FL  29-00-50.9340N  081-59-04.3070W  N
03055.72*C   FD79        JORDAN                                     BELLEVIEW                          FL  29-00-50.9340N  081-58-41.3060W  N
03055.6*A    2FA2        MONROE AIRPARK                             BELLEVIEW                          FL  29-01-07.9290N  082-06-49.3220W  N
03055.62*A   8FL2        NORTON                                     BELLEVIEW                          FL  29-00-03.9300N  082-06-02.3200W  N
03055.69*H   19FL        THE VILLAGES                               BELLEVIEW                          FL  28-58-50.0000N  081-59-26.0000W  N
03057.13*A   F95         CALHOUN COUNTY                             BLOUNTSTOWN                        FL  30-29-13.9550N  085-06-49.6650W  N
03059.*H     5FD6        BOCA GRANDE HELISTOP                       BOCA GRANDE                        FL  26-44-32.2510N  082-15-31.3400W  N
03060.03*H   58FL        A I M                                      BOCA RATON                         FL  26-24-56.2710N  080-11-29.1650W  N
03060.*A     BCT         BOCA RATON                                 BOCA RATON                         FL  26-22-42.6000N  080-06-27.7000W  Y
03060.05*H   3FD8        WEST BOCA MEDICAL CENTER                   BOCA RATON                         FL  26-21-20.0000N  080-12-01.0000W  N
03061.51*H   2FA3        HENDERSON                                  BOKEELIA                           FL  26-31-07.2820N  082-09-06.3380W  N
03063.55*H   7FD5        DOCTORS HOSPITAL                           BONIFAY                            FL  30-45-40.6700N  085-40-56.9600W  N
03063.54*A   FA55        GARNER FIELD                               BONIFAY                            FL  30-46-47.0000N  085-46-06.0000W  N
03063.53*A   03FD        THARPE                                     BONIFAY                            FL  30-49-43.6730N  085-43-51.7540W  N
03063.51*A   1J0         TRI-COUNTY                                 BONIFAY                            FL  30-50-44.8000N  085-36-05.0000W  N
03071.02*H   88FD        BETHESDA MEMORIAL HOSPITAL                 BOYNTON BEACH                      FL  26-30-15.6000N  080-04-13.0000W  N
03071.03*H   FL47        BETHESDA WEST HOSPITAL                     BOYNTON BEACH                      FL  26-31-45.4000N  080-11-54.4000W  N
03071.01*G   FA44        WILLIS                                     BOYNTON BEACH                      FL  26-32-53.2540N  080-12-53.1660W  N
03075.*H     5FL2        HCA L W BLAKE HOSPITAL                     BRADENTON                          FL  27-28-58.1440N  082-31-23.3460W  N
03075.01*H   7FL9        LAKEWOOD RANCH MEDICAL CENTER HELISTOP     BRADENTON                          FL  27-23-24.1300N  082-26-07.5800W  N
03075.02*H   FL45        MANATEE MEMORIAL HOSPITAL                  BRADENTON                          FL  27-29-44.7200N  082-33-45.2000W  N
03075.72*H   5FL3        HOSPITAL BRANDON HELISTOP                  BRANDON                            FL  27-55-56.0840N  082-17-18.3290W  N
03075.71*A   FL78        LEWIS                                      BRANDON                            FL  27-53-55.0900N  082-10-57.3200W  N
03075.86*A   FD16        FLYING C FARM                              BRANFORD                           FL  29-57-57.0000N  082-52-22.0000W  N
03075.83*A   FL02        FOX FIELD                                  BRANFORD                           FL  29-53-21.8410N  082-47-55.4440W  N
03075.82*A   2FD0        LAZYBOY                                    BRANFORD                           FL  29-58-32.8260N  082-54-26.4580W  N
03075.81*A   FD71        O'BRIEN AIRPARK EAST/WEST                  BRANFORD                           FL  30-02-54.0000N  082-59-02.0000W  N
03075.85*A   0FL1        THOMPSON AIRFIELD                          BRANFORD                           FL  29-59-00.0000N  082-50-08.0000W  N
03079.02*H   0FA3        BRIGHTON HELIPAD                           BRIGHTON                           FL  27-04-33.0000N  081-04-16.2000W  N
03083.*A     BKV         BROOKSVILLE-TAMPA BAY RGNL                 BROOKSVILLE                        FL  28-28-25.0000N  082-27-19.5000W  Y
03083.03*A   5FD7        CHINSEGUT                                  BROOKSVILLE                        FL  28-36-41.9710N  082-22-04.3340W  N
03083.01*A   X05         PILOT COUNTRY                              BROOKSVILLE                        FL  28-19-49.0180N  082-29-47.3450W  N
03083.2*A    47FL        RANCHAERO GRAND VISTA                      BROOKSVILLE                        FL  28-32-23.4900N  082-18-16.9900W  N
03091.02*H   5FD4        FLAGLER COUNTY EMERGENCY OPNS CENTER       BUNNELL                            FL  29-28-16.1000N  081-14-39.5000W  N
03093.01*A   09FD        CHERYL-LANE LANDINGS                       BUSHNELL                           FL  28-40-15.9730N  082-05-14.3040W  N
03093.04*A   25FL        CONNELL'S WAHOO                            BUSHNELL                           FL  28-37-55.0000N  082-09-28.0000W  N
03093.1*A    9FL1        FLYING W AIRRANCH                          BUSHNELL                           FL  28-41-00.9680N  082-09-27.3120W  N
03093.11*A   00FA        GRASS PATCH                                BUSHNELL                           FL  28-38-43.9700N  082-13-08.3100W  N
03093.09*A   4FL2        KO-KEE                                     BUSHNELL                           FL  28-35-41.9790N  082-08-59.3070W  N
03093.19*H   3FA6        SUMTER COUNTY SHERIFF'S                    BUSHNELL                           FL  28-39-45.1600N  082-06-27.0300W  N
03093.8*A    2CB         CAMP BLANDING AAF/NG                       CAMP BLANDING MIL RES(STARKE)      FL  29-58-00.8660N  081-58-59.3700W  Y
03096.43*H   5FD8        BOKEELIA HELISTOP                          CAPE CORAL                         FL  26-40-14.2600N  082-08-09.3320W  N
03096.42*H   FD66        CAPE CORAL HOSPITAL                        CAPE CORAL                         FL  26-38-18.2620N  081-56-29.3160W  N
03096.44*H   5FD9        ST JAMES HELISTOP                          CAPE CORAL                         FL  26-30-41.2820N  082-05-18.3330W  N
03098.*A     X13         CARRABELLE-THOMPSON                        CARRABELLE                         FL  29-50-31.2000N  084-42-04.0000W  N
03098.1*A    FA43        DOG ISLAND                                 CARRABELLE                         FL  29-48-30.7580N  084-35-44.6450W  N
03098.4*C    FL04        PATE LAKE                                  CARYVILLE                          FL  30-41-31.6860N  085-45-24.7530W  N
03102.01*A   FA71        CEDARS AIRFIELD                            CEDAR KEY                          FL  29-13-40.8740N  082-56-37.4310W  N
03102.*A     CDK         GEORGE T LEWIS                             CEDAR KEY                          FL  29-08-03.2000N  083-03-01.7000W  N
03103.*H     77FL        CELEBRATION HEALTH HOSPITAL                CELEBRATION                        FL  28-19-45.0000N  081-32-33.0000W  N
03104.*A     FD89        COLLIER/PINE BARREN AIRPARK                CENTURY                            FL  30-49-37.6730N  087-21-29.9180W  N
03106.01*H   31FD        FLORIDA STATE HOSPITAL                     CHATTAHOOCHEE                      FL  30-42-22.6890N  084-50-32.7130W  N
03107.*A     73FD        BROOKINS AIR STRIP                         CHIEFLAND                          FL  29-30-38.8610N  082-51-36.4330W  N
03107.04*A   51FL        CHIEFLAND SKY RANCH                        CHIEFLAND                          FL  29-23-41.8000N  082-52-11.2000W  N
03107.03*A   79FL        NEAL FIELD                                 CHIEFLAND                          FL  29-33-09.8570N  082-52-07.4360W  N
03107.01*A   FA36        WHITE FARMS                                CHIEFLAND                          FL  29-30-54.4600N  082-52-22.5250W  N
03107.05*A   6FD0        WINDY ACRES                                CHIEFLAND                          FL  29-33-56.8570N  082-52-07.4370W  N
03108.03*A   FD94        HARTZOG FIELD                              CHIPLEY                            FL  30-43-08.0000N  085-36-24.0000W  N
03108.02*H   80FL        NORTHWEST FLORIDA COMMUNITY HOSPITAL       CHIPLEY                            FL  30-45-57.4700N  085-32-37.5400W  N
03109.41*A   6FD2        BIG OAKS RANCH                             CHULUOTA                           FL  28-40-00.9870N  081-05-04.2210W  N
03110.11*A   FD14        PANIOLA AIR RANCH                          CITRA                              FL  29-22-30.9020N  082-03-29.3270W  N
03110.*A     9FD5        THOMPSON'S GOINBROKE AERO RANCH            CITRA                              FL  29-23-11.9000N  082-08-34.3390W  N
03111.41*A   74FD        CLARKSVILLE                                CLARKSVILLE                        FL  30-27-50.7010N  085-10-37.7130W  N
