03010.1*A,63FD,LINK FIELD,ALACHUA,FL,ASO,ORL,PR,29-41-53.0000N,082-29-29.0000W,PR,,NON-NPIAS,,N,,,2,0
03010.*A,FA62,SANTA FE RIVER RANCH,ALACHUA,FL,ASO,ORL,PR,29-55-00.8650N,082-28-59.4150W,PR,,NON-NPIAS,,N,,,0,0
03010.01*A,63FA,SULLIVAN FIELD,ALACHUA,FL,ASO,NONE,PR,29-44-03.0000N,082-33-55.0000W,PR,,NON-NPIAS,,N,,,2,0
03014.5*H,0FL4,JACKSON,ALFORD,FL,ASO,ORL,PR,30-42-18.0000N,085-22-42.0000W,PR,,NON-NPIAS,,N,,,0,0
03015.1*H,01FD,FLORIDA HOSPITAL-ALTAMONTE,ALTAMONTE SPRINGS,FL,ASO,ORL,PR,28-39-58.9910N,081-22-14.2470W,PR,,NON-NPIAS,,N,,,0,0
03015.02*C,0FA9,PARADISE LANDING,ALTAMONTE SPRINGS,FL,ASO,ORL,PR,28-39-27.0000N,081-22-57.0000W,PR,,NON-NPIAS,,N,,,1,0
03015.*C,3FD9,PRAIRIE LAKE PVT RES SP MOORING FACILITY,ALTAMONTE SPRINGS,FL,ASO,ORL,PR,28-39-23.9920N,081-21-12.2460W,PR,,NON-NPIAS,,N,,,5,0
03016.04*H,FD60,CALHOUN SHERIFF'S,ALTHA,FL,ASO,ORL,PR,30-35-12.6900N,085-06-13.7100W,PR,,NON-NPIAS,,N,,,0,0
03016.03*A,50FD,CATTLE CREEK RANCH,ALTHA,FL,ASO,ORL,PR,30-31-05.6980N,085-11-55.7190W,PR,,NON-NPIAS,,N,,,1,11527
03017.*A,87FL,ALMA,ALVA,FL,ASO,ORL,PR,26-43-58.7500N,081-34-15.7500W,PR,,NON-NPIAS,,N,,,0,7100
03025.*A,AAF,APALACHICOLA RGNL-CLEVE RANDOLPH FIELD,APALACHICOLA,FL,ASO,ORL,PU,29-43-39.1762N,085-01-38.5585W,PU,,General Aviation,,N,100LLA,AVNCS  CHTR  INSTR  RNTL  SALES,23,93812
03025.1*A,F47,ST GEORGE ISLAND,APALACHICOLA,FL,ASO,ORL,PU,29-38-40.5025N,084-54-56.1562W,PR,,NON-NPIAS,,N,,,0,0
03027.11*A,FL57,CARTER,APOPKA,FL,ASO,ORL,PR,28-37-07.9980N,081-30-31.2600W,PR,,NON-NPIAS,,N,,,2,0
03027.13*H,1FA2,FLORIDA HOSPITAL APOPKA,APOPKA,FL,ASO,ORL,PR,28-40-53.0000N,081-30-27.0000W,PR,,NON-NPIAS,,N,,,0,0
03027.12*A,X04,ORLANDO APOPKA,APOPKA,FL,ASO,ORL,PU,28-42-26.9079N,081-34-55.0722W,PR,,NON-NPIAS,,N,100LLA,CHTR  INSTR  RNTL  SALES  SURV,117,0
03030.*A,X06,ARCADIA MUNI,ARCADIA,FL,ASO,ORL,PU,27-11-44.1910N,081-50-14.0219W,PU,,General Aviation,,N,100LLA,,13,0
03030.01*H,FD85,DE SOTO MEMORIAL HOSPITAL,ARCADIA,FL,ASO,ORL,PR,27-13-40.7600N,081-51-03.5600W,PU,,NON-NPIAS,,N,,,0,0
03030.13*A,0FA1,FRIERSON GROVE,ARCADIA,FL,ASO,ORL,PR,27-18-14.1650N,081-52-49.3000W,PR,,NON-NPIAS,,N,,,0,0
03030.11*A,26FD,HENNESSY,ARCADIA,FL,ASO,ORL,PR,27-03-04.2000N,081-50-53.3000W,PR,,NON-NPIAS,,N,,,0,0
03030.08*A,FL40,HUMMINGBIRDS LANDING,ARCADIA,FL,ASO,ORL,PR,27-07-15.5000N,081-48-09.6900W,PR,,NON-NPIAS,,N,,,0,0
03030.15*A,8FL1,MC DONALD'S FIELD,ARCADIA,FL,ASO,ORL,PR,27-11-49.1800N,081-54-56.3030W,PR,,NON-NPIAS,,N,,,2,0
03030.14*A,FA64,MONTGOMERY RANCH,ARCADIA,FL,ASO,ORL,PR,27-04-28.1940N,081-35-11.2800W,PR,,NON-NPIAS,,N,,,0,0
03030.02*A,09FL,SUNNYBREEZE,ARCADIA,FL,ASO,ORL,PR,27-03-20.0000N,081-58-14.0000W,PR,,NON-NPIAS,,N,,,3,24375
03033.23*H,FA57,ARCHER EMERGENCY,ARCHER,FL,ASO,ORL,PR,29-32-03.0000N,082-31-28.0000W,PR,,NON-NPIAS,,N,,,0,19370
