Short Name  Airport Name                               City                               Latitude        Longitude       
==========  ============                               ====                               ========        =========       
APF         Airport Name                               Associated City                    0.000000        0.000000        
DAB         DAYTONA BEACH INTL                         DAYTONA BEACH                      29.179916       -81.058060      
ECP         FORT LAUDERDALE/HOLLYWOOD INTL             FORT LAUDERDALE                    26.071667       -80.149689      
EYW         GAINESVILLE RGNL                           GAINESVILLE                        29.690054       -82.271782      
FLL         JACKSONVILLE INTL                          JACKSONVILLE                       30.494057       -81.687836      
GNV         KEY WEST INTL                              KEY WEST                           24.556110       -81.759552      
JAX         LAKELAND LINDER RGNL                       LAKELAND                           27.988916       -82.018562      
LAL         MELBOURNE INTL                             MELBOURNE                          28.102751       -80.645248      
Loc ID      MIAMI INTL                                 MIAMI                              25.795361       -80.290108      
MCO         NAPLES MUNI                                NAPLES                             26.152441       -81.775642      
MIA         NORTHEAST FLORIDA RGNL                     ST AUGUSTINE                       29.959251       -81.339722      
MLB         NORTHWEST FLORIDA BEACHES INTL             PANAMA CITY                        30.358250       -85.795609      
MTH         OCALA INTL-JIM TAYLOR FIELD                OCALA                              29.171877       -82.224113      
OCF         ORLANDO INTL                               ORLANDO                            28.429388       -81.309006      
PBI         ORLANDO SANFORD INTL                       ORLANDO                            28.776972       -81.234917      
PGD         PALM BEACH INTL                            WEST PALM BEACH                    26.683167       -80.095589      
PIE         PENSACOLA INTL                             PENSACOLA                          30.473427       -87.186615      
PNS         PUNTA GORDA                                PUNTA GORDA                        26.918938       -81.990921      
RSW         SARASOTA/BRADENTON INTL                    SARASOTA/BRADENTON                 27.395445       -82.554390      
SFB         SOUTHWEST FLORIDA INTL                     FORT MYERS                         26.536165       -81.755165      
SGJ         SPACE COAST RGNL                           TITUSVILLE                         28.514805       -80.799225      
SRQ         ST PETE-CLEARWATER INTL                    ST PETERSBURG-CLEARWATER           27.908688       -82.686493      
TIX         TALLAHASSEE INTL                           TALLAHASSEE                        30.396749       -84.350861      
TLH         TAMPA INTL                                 TAMPA                              27.975473       -82.533257      
TPA         THE FLORIDA KEYS MARATHON INTL             MARATHON                           24.726194       -81.051361      
VRB         VERO BEACH MUNI                            VERO BEACH                         27.655556       -80.417938      
